pod_name,epi_name,id,level,text,isFriendly,Sentiment,likeCount,replyCount
快乐亚军runner-up ,《再见友人》《爹爹不休》《一年级之九漏鱼季》，如果我来当综艺制片人,673ed05a7e10d897256f2920,1,叉叉！！！！！！你可知道我有多想你吗！！！！！！！,False,0.5055550932884216,217,2
快乐亚军runner-up ,《再见友人》《爹爹不休》《一年级之九漏鱼季》，如果我来当综艺制片人,673ed72a160996ee622043f6,1,主持人是李红也很不错 袁立观察员,True,0.9356867671012878,132,3
快乐亚军runner-up ,《再见友人》《爹爹不休》《一年级之九漏鱼季》，如果我来当综艺制片人,673ed9a27f08ac19d83b455f,1,05:29 刘亦菲和曾轶可来，可就不是再见友人了哈哈哈哈:thinking_face:,False,0.6775299906730652,82,2
快乐亚军runner-up ,《再见友人》《爹爹不休》《一年级之九漏鱼季》，如果我来当综艺制片人,673edfba906b752fd835226c,1,52:40 比爹突然想到其实挺简单的，抄奇葩说的，搞观点统一或反对，理由输出10分钟（到点自动闭麦，这帮人说不完的）根据一个社会热点各自发言，观众50个男性50个女性，大家受不了了就灭灯一次，可以无数次灭灯，最后计总数，灭灯最少的人淘汰。淘汰惩罚是散场时对来现场的所有观众及嘉宾叫爸爸。挂脸不愿意的，就录视频承认自己玩不起。都不愿意做的，根据灭灯数×100按费用对贫困地区捐款，以此取消叫爸爸惩罚，并取消淘汰资格，必须顺延参加下轮比赛。直到赛出爸王（反正胡说八道主题，瞎写写）,False,0.9148480892181396,67,6
快乐亚军runner-up ,《再见友人》《爹爹不休》《一年级之九漏鱼季》，如果我来当综艺制片人,673ed67e9d7d99b28427c095,1,20:57 笑疯，想象黄子韬带着他孩子说，这是你吴叔叔，哈哈哈哈哈,True,0.9045228362083435,62,1
快乐亚军runner-up ,《再见友人》《爹爹不休》《一年级之九漏鱼季》，如果我来当综艺制片人,673ed050824fd7cf01b670e2,1,呜呜呜呜呜叉叉！想您！【也爱郭郭和欣欣！】,True,0.9303176403045654,59,1
快乐亚军runner-up ,《再见友人》《爹爹不休》《一年级之九漏鱼季》，如果我来当综艺制片人,673ed387801727e957df129c,1,19:54 那你们这么说 我要看飞轮海四个人合体了哈哈哈哈哈哈哈,False,0.6745651960372925,52,1
快乐亚军runner-up ,《再见友人》《爹爹不休》《一年级之九漏鱼季》，如果我来当综艺制片人,673ed964352dfc401e8fd214,1,38:22 有些男的遇到更爹的人就会变成儿子孙子子子孙孙无穷尽。。,False,0.5631695985794067,49,0
快乐亚军runner-up ,《再见友人》《爹爹不休》《一年级之九漏鱼季》，如果我来当综艺制片人,673edb1644e82d914c5f3c53,1,39:07 壶嘴冲着郭德纲！哈哈哈哈哈哈哈哈哈！！笑得肚子疼！太有才华了！太缺德了！,False,0.786166250705719,46,1
快乐亚军runner-up ,《再见友人》《爹爹不休》《一年级之九漏鱼季》，如果我来当综艺制片人,673ed03fcf6d2447ef9f8a7c,1,唉呀妈呀叉叉回家啦！我去买把:locked:把你锁住(✧∇✧),False,0.5496453642845154,43,1
快乐亚军runner-up ,《再见友人》《爹爹不休》《一年级之九漏鱼季》，如果我来当综艺制片人,673ee50143cfe01ffb9ebfb4,1,30:21 再见朋友不要忘了请宏迪啊:face_holding_back_tears:,False,0.6877015829086304,39,2
快乐亚军runner-up ,《再见友人》《爹爹不休》《一年级之九漏鱼季》，如果我来当综艺制片人,673ed334dd5b823b4e44c476,1,袁立老师和李红李冰冰,True,0.9171903133392334,38,1
快乐亚军runner-up ,《再见友人》《爹爹不休》《一年级之九漏鱼季》，如果我来当综艺制片人,673eecd35b8e507d01a83cef,1,26:25 妈呀 阜新柏然这个真的磕到了,False,0.6379547119140625,31,1
快乐亚军runner-up ,《再见友人》《爹爹不休》《一年级之九漏鱼季》，如果我来当综艺制片人,673eda06352dfc401e90563c,1,36:18 又名《爹王争爸赛》,False,0.7407447695732117,29,3
快乐亚军runner-up ,《再见友人》《爹爹不休》《一年级之九漏鱼季》，如果我来当综艺制片人,673ede3a7b3401b19358c8b6,1,44:34 主持人，不得让张绍刚来？,,0.7686848640441895,22,1
快乐亚军runner-up ,《再见友人》《爹爹不休》《一年级之九漏鱼季》，如果我来当综艺制片人,673f22765b8e507d01cef0c5,1,54:02 不由得想感叹，三位主播一合体仅凭想象力把综艺节目用语言艺术说得是活色生香！太棒了！真的很有趣！,True,0.948563277721405,21,0
快乐亚军runner-up ,《再见友人》《爹爹不休》《一年级之九漏鱼季》，如果我来当综艺制片人,673ee5a97f08ac19d843deb9,1,再见友人的港台分演播场得有我们大名鼎鼎的飞轮海，及飞轮海的第五位成员唐禹哲吖！,True,0.9357463121414185,17,2
快乐亚军runner-up ,《再见友人》《爹爹不休》《一年级之九漏鱼季》，如果我来当综艺制片人,673edf09435ec1f006477053,1,1:04:14 《无人生还》爹版,False,0.7320696711540222,17,1
快乐亚军runner-up ,《再见友人》《爹爹不休》《一年级之九漏鱼季》，如果我来当综艺制片人,673ee024cf6d2447efaaea97,1,00:49 明天要二刷好东西了！！！，超级期待快乐亚军下一期讲好东西！！！,True,0.9225499033927917,14,3
快乐亚军runner-up ,《再见友人》《爹爹不休》《一年级之九漏鱼季》，如果我来当综艺制片人,673f0d4893b636dd65ceeba7,1,1:05:59 啊啊啊为什么结束了请出下期！（滑跪抱腿,False,0.5703195333480835,14,1
快乐亚军runner-up ,56.网友红温但男人隐身，为什么我们和再见爱人说再见？,6736b814754c321411fc6284,1,终于等到你。。知道我在小亮书过得有多苦吗。。。麦琳颠的同时李行亮也是难评。。不断的挑衅麦琳雷点看麦琳发疯,False,0.8362365365028381,1184,31
快乐亚军runner-up ,56.网友红温但男人隐身，为什么我们和再见爱人说再见？,6736f4a3839516350e9453f6,1,57:38 李的身上，呈现了一种婚恋市场“老实男人”的骗局,False,0.9192478060722351,873,12
快乐亚军runner-up ,56.网友红温但男人隐身，为什么我们和再见爱人说再见？,6736b9eccde3666b73386faf,1,守护 快乐亚军 全网讨伐麦看的我难受……. 替她说话的up都被骂了。 我实话实说了，女的偏心女的怎么了！！！！,False,0.930049479007721,888,13
快乐亚军runner-up ,56.网友红温但男人隐身，为什么我们和再见爱人说再见？,6736bf15961ef9124efbc43b,1,02:09 熏鸡那里麦确实有问题，但是麦有问题≠亮没问题，这完全是两码事。一边倒只网暴麦攻击麦，我大无语。,False,0.9265660047531128,594,8
快乐亚军runner-up ,56.网友红温但男人隐身，为什么我们和再见爱人说再见？,6736b9d7cde3666b73385ec6,1,26:51 我愿意把我能说的最恶毒的话都给留几手,False,0.8900076746940613,550,7
快乐亚军runner-up ,56.网友红温但男人隐身，为什么我们和再见爱人说再见？,6736d5ad00b8dab7f6a07de6,1,1:45:21 黄执中已经把麦琳当对方辩手了，每一次一到时候他恨不得站起来骂,False,0.7815320491790771,516,13
快乐亚军runner-up ,56.网友红温但男人隐身，为什么我们和再见爱人说再见？,6736b8fbb93c032f86968d76,1,再见爱人给我看抑郁了（此处抑郁表夸张），尤其是节目外，网友可以说是杀红了眼，太可怕了……我不是一开始就替麦说话的，我甚至一开始还是围观审判她的一员（围观但没骂），直到看到那些恶意p丑的截图和丑化漫画，内心想这真的至于么？这个想法一旦开始我的思维就彻底扭转了，然后再看那些乐子文字再没感觉了。此处尤其恶心po“直男re麦琳”“用麦琳语气和我老公说话他xxx”我真的会吐。,False,0.9452645778656006,371,9
快乐亚军runner-up ,56.网友红温但男人隐身，为什么我们和再见爱人说再见？,6736bcefe844aafd619eb6a4,1,李行亮生日扮人偶，送青团，婚礼造房子，这些行为有一个共同特点，就是都有视频记录啊，都在社交媒体发布过啊，讲白了，这是人家小明星的营业物料，立深情人设用的。而且他们这对夫妻有个很妙的点，就是都表现出了对别的男性和女性的极大兴趣。,True,0.631208598613739,355,8
快乐亚军runner-up ,56.网友红温但男人隐身，为什么我们和再见爱人说再见？,6736ff10bba6d03908cd04e6,1,1:45:09 每当papi，侯佩岑和沈老师几个人表达对麦琳的理解的时候黄执中就总要去插话，他有没有意识到他才是自己嘴里那个总是要把所有人的注意力拉到自己身上的人啊？每次一说麦琳就自我代入，情绪亢奋，拼命给麦琳贴负面标签感觉也是有精神障碍的症状，建议他及早看心理医生不要讳疾忌医,False,0.6516600847244263,330,5
