pod_name,epi_name,id,level,text,isFriendly,Sentiment,likeCount,replyCount
除你武器 ,047｜没人告诉我，怎么才算爱具体的人,6716fc0a888505ae01df4903,1,转发本期节目到朋友圈，即可参与听友群内抽奖，我们将送出三本本期提到的《见树又见林》～,True,0.932984471321106,22,0
除你武器 ,047｜没人告诉我，怎么才算爱具体的人,6716f409609410ba31f9111b,1,"开头：我们会放慢语速10分钟后：激情喊麦",True,0.6683538556098938,175,7
除你武器 ,047｜没人告诉我，怎么才算爱具体的人,67178afb5f1d2528cde0059a,1,37:25 白熊和河马都是女权主义者这是毋庸置疑的。但她们俩的选择非常不同。白熊想的是如果要改变女性处境就需要女性领导者，但在她自己成为领导者的过程中拉拢男性是非常必要的，为了最终的目的和男性结盟认同男权逻辑然后爬上最顶。河马则是认为反抗更重要，女性同盟更重要，所以她对白熊有天然好感更信任她，帮助白熊成为领导者。河马也是参加很多次抗议活动的人，她天然和反抗者站在一起，白熊则更注重怎么当上领袖。但她们本质都是好的。,True,0.9153801798820496,101,2
除你武器 ,047｜没人告诉我，怎么才算爱具体的人,671716921e6a75a0a7759668,1,24:58 我不认同河马和白熊的动物形象是温暖的，反而都是庞大的野兽，显示出她们对于自身形象的期望，河马说取这个名字是因为“虽然是食草动物 但却暴戾强悍的河马”,True,0.749194860458374,92,2
除你武器 ,047｜没人告诉我，怎么才算爱具体的人,67170342a212113c0127c91b,1,29:53 不是的，超人对河马的敌意不是因为基于标签认识人，他从一开始就觉得河马是异类，他说上节目的每个人多少都戴面具，而河马好像一点都不装，他觉得这么纯粹的人是要警惕的。我觉得他是看到了河马内核的强大而害怕了，因为他自己是个伪装成强者但其实心虚的不行的人,False,0.8774884343147278,57,1
除你武器 ,047｜没人告诉我，怎么才算爱具体的人,6716f8914c1560fb79134b59,1,除你武器终于聊思想验证区域了！！最近刚好看完！！！,True,0.9386143088340759,47,2
除你武器 ,047｜没人告诉我，怎么才算爱具体的人,671728f9de2a6720e28050d7,1,19:16 Ted最后一把已然成佛了，其他嘉宾热锅蚂蚁样算好感票，他坐那揣手闭眼微微一笑,True,0.9156345725059509,46,1
除你武器 ,047｜没人告诉我，怎么才算爱具体的人,67171b536ba10dbe0d3214da,1,36:26 我感觉不良分子的设定反而更像社会中天然存在或者因为不是主流而被迫变成边缘的“少数派”，因为人数少因为没有话语权而被定义成“不良”，不良分子的任务反而是让更多的人活到最后让集体有更多的奖金，在最终任务里他才更有利，而且本杰明也确实是一直在为集体做贡献。人们为了抱团党同伐异，反而是破坏这个集体的开始，不能包容不同人的社会，“会拥有与之相匹配的不良分子”，本杰明淘汰之后的这句话太帅了，我也很认可，而最后也确实是一直人面兽心左右逢源的grey 成了破坏性更大的不良分子,False,0.8960943222045898,48,3
除你武器 ,047｜没人告诉我，怎么才算爱具体的人,6717b7acc017f0dfa1658dd5,1,1:07:32 弹幕有一句关于sugar的评价很精准：在过刚易折的东亚社会，选择一种扮猪吃老虎的人生。不忍心责备sugar姐，祝她永远聪明，永远明媚。,True,0.9244146347045898,30,1
除你武器 ,047｜没人告诉我，怎么才算爱具体的人,6717186ca397a6c0ea2a6143,1,30:40 笑死我了白熊超人一直在虚空锁敌，以为河马记者结盟了，结果人家根本都没有，不知道他们嘴里的敌对党在哪里，果然验证那句“你眼里的别人才是你自己”,False,0.9046918749809265,37,0
